name,need
彌可保500mg,0
胃利贊 (罐),0
脂脈優5/10mg粉,0
脂脈優5/20mg紫,0
糖倍平,0
平脂4mg,0
思樂康25mg,0
高糖優美500mg,0
高糖優美850mg,0
高糖優美1000mg,0
普栓達110mg,0
薩多心4mg,0
妥寧20mg,0
美百樂鎮,0
可悅您50mg,0
可悅您100mg,0
好悅您50mg,0
好悅您100mg,0
康肯1.25mg,0
康肯5mg,0
立普妥10mg綠,0
立普妥20mg黃,0
利壓,0
力清之,0
福適佳,0
必康平40mg,0
必康平80mg,0
倍必康平,0
博脈舒8mg,0
瑪爾胰,0
釋多糖,0
耐比洛5mg28T,0
思樂康XR 200mg,0
維骨力粉劑,0
恆脈循30mg,0
腦寶 100T/盒,0
佳糖維,0
糖順平,0
使肺泰125 EVO,0
福避痛,0
雅脈20mg,0
雅脈40mg,0
舒脈康20mg,0
舒脈康40mg,0
舒脈優20mg(綠),0
舒脈優40mg(紅),0
脈優,0
弗尼利脂160mg,0
歐克胃40mg(黃),0
歐克胃20mg(綠),0
恩排糖10mg,0
恩排糖25mg,0
貝樂克0.5mg,0
伯基,0
立普能10mg,0
服他寧75mg,0
克他服寧25mg,0
維蒂斯眼膠,0
麗眼舒30支入,0
麗眼舒巧滴瓶,0
庫魯化500mg 藍,0
庫魯化850mg 棕,0
舒肉筋新(盒),0
息痛佳音(盒),0
百抑潰140T (盒),0
得安緒100T,0
替你坦舒140T,0
優泰脂 10/20mg,0
糖漸平,0
萬克適,0
艾來60mg,0
艾來180mg,0
BD針頭4MM(綠),0
BD針頭8MM(藍),0
耐適恩,0
可得安穩80mg,0
希樂葆,0
樂酸克,0
怡妥,0
活路利淨0.2mg藍,0
活路利淨0.4mg紅,0
阿斯匹靈,0
恩特來10mg84T,0
昂特欣50mg(藍),0
耐絞寧,0
柯尼優寧,0
愛爾康人工淚液,0
愛爾康人工淚膜,0
麗眼舒單支裝,0
新斯狄明點眼液,0
法瑪鎮20mg,0
里先安30mg/60m,0
可迅4mg,0
恩美糖,0
歐舒緩釋錠5mg,0
愛妥糖30mg,0
得喜胃通,0
內舒拿,0
艾敏釋,0
驅異樂5mg100T,0
泰克胃通140T,0
艾胃逆服84T,0
捷糖穩500mg,0
捷糖穩850mg,0
治潰樂40mg14T,0
維妥力,0
天諾民50mg,0
備勞喘,0
吸必擴吸入劑,0
益脂可,0
醣祿錠100mg,0
力安穩(粉)5/160,0
富眼能0.1,0
高糖優適,0
信東舒眼,0
